timecost:0.35, lr:0.0004129143072053638, epoch:104, train_loss:2.6585, train_acc:33.46
timecost:0.35, lr:0.0004106969024216348, epoch:105, train_loss:0.3598, train_acc:89.04
timecost:0.35, lr:0.0004084577418496776, epoch:106, train_loss:2.3422, train_acc:46.03
timecost:0.35, lr:0.00040619712863599006, epoch:107, train_loss:2.1114, train_acc:43.78
timecost:0.35, lr:0.00040391536883141455, epoch:108, train_loss:1.3108, train_acc:62.56
timecost:0.35, lr:0.0004016127713497034, epoch:109, train_loss:1.4546, train_acc:66.86
timecost:0.35, lr:0.00039928964792569654, epoch:110, train_loss:0.5274, train_acc:85.71
timecost:0.35, lr:0.0003969463130731183, epoch:111, train_loss:3.0052, train_acc:31.15
timecost:0.35, lr:0.00039458308404199667, epoch:112, train_loss:1.1373, train_acc:66.35
timecost:0.35, lr:0.00039220028077571295, epoch:113, train_loss:0.4406, train_acc:85.77
timecost:0.35, lr:0.0003897982258676867, epoch:114, train_loss:0.3279, train_acc:90.13
timecost:0.36, lr:0.0003873772445177015, epoch:115, train_loss:0.9185, train_acc:80.38
timecost:0.35, lr:0.00038493766448787826, epoch:116, train_loss:1.0670, train_acc:73.85
timecost:0.35, lr:0.0003824798160583013, epoch:117, train_loss:3.8921, train_acc:30.45
timecost:0.35, lr:0.0003800040319823039, epoch:118, train_loss:1.1157, train_acc:64.04
timecost:0.35, lr:0.00037751064744141885, epoch:119, train_loss:0.7052, train_acc:77.12
timecost:0.35, lr:0.000375, epoch:120, train_loss:2.2105, train_acc:39.42
timecost:0.35, lr:0.0003724724295595218, epoch:121, train_loss:2.3139, train_acc:41.03
timecost:0.35, lr:0.0003699282783125616, epoch:122, train_loss:1.1149, train_acc:62.82
timecost:0.35, lr:0.0003673678906964727, epoch:123, train_loss:4.5912, train_acc:10.77
timecost:0.35, lr:0.00036479161334675294, epoch:124, train_loss:4.1527, train_acc:16.54
timecost:0.35, lr:0.0003621997950501156, epoch:125, train_loss:3.4193, train_acc:25.96
timecost:0.35, lr:0.00035959278669726934, epoch:126, train_loss:1.1089, train_acc:67.88
timecost:0.35, lr:0.00035697094123541363, epoch:127, train_loss:0.0367, train_acc:99.17
timecost:0.35, lr:0.0003543346136204545, epoch:128, train_loss:0.3120, train_acc:91.03
timecost:0.35, lr:0.00035168416076895, epoch:129, train_loss:0.7341, train_acc:78.46
timecost:0.36, lr:0.00034901994150978924, epoch:130, train_loss:0.7005, train_acc:79.74
timecost:0.36, lr:0.0003463423165356121, epoch:131, train_loss:0.5363, train_acc:85.51
timecost:0.36, lr:0.00034365164835397803, epoch:132, train_loss:0.6804, train_acc:79.23
timecost:0.35, lr:0.0003409483012382879, epoch:133, train_loss:0.5678, train_acc:80.83
timecost:0.35, lr:0.0003382326411784672, epoch:134, train_loss:1.2040, train_acc:63.85
timecost:0.35, lr:0.00033550503583141715, epoch:135, train_loss:0.3316, train_acc:89.23
timecost:0.35, lr:0.00033276585447123954, epoch:136, train_loss:1.6006, train_acc:54.10
timecost:0.36, lr:0.00033001546793924293, epoch:137, train_loss:0.3343, train_acc:86.54
timecost:0.35, lr:0.00032725424859373687, epoch:138, train_loss:1.6352, train_acc:55.38
timecost:0.35, lr:0.00032448257025962057, epoch:139, train_loss:0.9938, train_acc:69.55
timecost:0.36, lr:0.00032170080817777255, epoch:140, train_loss:0.6740, train_acc:77.82
timecost:0.35, lr:0.0003189093389542498, epoch:141, train_loss:1.6525, train_acc:57.24
timecost:0.36, lr:0.0003161085405093006, epoch:142, train_loss:0.8725, train_acc:72.44
timecost:0.35, lr:0.0003132987920262005, epoch:143, train_loss:0.0494, train_acc:98.91
timecost:0.35, lr:0.00031048047389991694, epoch:144, train_loss:0.5327, train_acc:82.18
timecost:0.35, lr:0.00030765396768561005, epoch:145, train_loss:0.0403, train_acc:99.23
timecost:0.35, lr:0.0003048196560469758, epoch:146, train_loss:1.0176, train_acc:68.33
timecost:0.35, lr:0.00030197792270443986, epoch:147, train_loss:0.5888, train_acc:80.32
timecost:0.36, lr:0.00029912915238320754, epoch:148, train_loss:0.5333, train_acc:81.86
timecost:0.36, lr:0.0002962737307611787, epoch:149, train_loss:0.8216, train_acc:71.15
timecost:0.36, lr:0.00029341204441673266, epoch:150, train_loss:0.1976, train_acc:94.68
timecost:0.35, lr:0.00029054448077639184, epoch:151, train_loss:0.1802, train_acc:94.23
timecost:0.36, lr:0.0002876714280623708, epoch:152, train_loss:1.5265, train_acc:61.41
timecost:0.36, lr:0.00028479327524001636, epoch:153, train_loss:0.1821, train_acc:93.59
timecost:0.35, lr:0.0002819104119651487, epoch:154, train_loss:0.1233, train_acc:96.92
timecost:0.36, lr:0.0002790232285313076, epoch:155, train_loss:1.4707, train_acc:60.77
timecost:0.35, lr:0.0002761321158169134, epoch:156, train_loss:0.3172, train_acc:87.76
timecost:0.36, lr:0.0002732374652323481, epoch:157, train_loss:0.0229, train_acc:99.62
timecost:0.35, lr:0.0002703396686669646, epoch:158, train_loss:0.2198, train_acc:92.12
timecost:0.35, lr:0.00026743911843603134, epoch:159, train_loss:6.3439, train_acc:9.62
timecost:0.36, lr:0.00026453620722761897, epoch:160, train_loss:0.9581, train_acc:68.72
timecost:0.36, lr:0.0002616313280494367, epoch:161, train_loss:0.2415, train_acc:91.28
timecost:0.36, lr:0.0002587248741756253, epoch:162, train_loss:0.2655, train_acc:92.76
timecost:0.35, lr:0.00025581723909351406, epoch:163, train_loss:0.9311, train_acc:67.76
timecost:0.36, lr:0.0002529088164503493, epoch:164, train_loss:0.1376, train_acc:96.09
timecost:0.35, lr:0.00025, epoch:165, train_loss:2.7739, train_acc:34.17
timecost:0.35, lr:0.00024709118354965075, epoch:166, train_loss:0.1512, train_acc:96.99
timecost:0.35, lr:0.00024418276090648595, epoch:167, train_loss:0.7120, train_acc:74.74
timecost:0.36, lr:0.0002412751258243748, epoch:168, train_loss:0.5250, train_acc:82.05
timecost:0.35, lr:0.0002383686719505634, epoch:169, train_loss:0.0816, train_acc:98.01
timecost:0.36, lr:0.00023546379277238105, epoch:170, train_loss:0.3675, train_acc:86.54
timecost:0.35, lr:0.00023256088156396873, epoch:171, train_loss:0.0534, train_acc:98.97
timecost:0.36, lr:0.0002296603313330354, epoch:172, train_loss:2.8674, train_acc:28.72
timecost:0.35, lr:0.00022676253476765196, epoch:173, train_loss:0.3479, train_acc:90.06
timecost:0.35, lr:0.00022386788418308668, epoch:174, train_loss:0.9029, train_acc:71.28
timecost:0.35, lr:0.00022097677146869246, epoch:175, train_loss:0.4693, train_acc:83.78
timecost:0.35, lr:0.0002180895880348514, epoch:176, train_loss:0.2619, train_acc:93.40
timecost:0.35, lr:0.0002152067247599836, epoch:177, train_loss:0.3318, train_acc:88.27
timecost:0.36, lr:0.00021232857193762922, epoch:178, train_loss:0.0290, train_acc:99.36
timecost:0.36, lr:0.00020945551922360817, epoch:179, train_loss:0.6647, train_acc:80.13
timecost:0.35, lr:0.00020658795558326743, epoch:180, train_loss:0.3724, train_acc:90.26
timecost:0.35, lr:0.0002037262692388214, epoch:181, train_loss:0.6442, train_acc:79.68
timecost:0.36, lr:0.0002008708476167925, epoch:182, train_loss:0.2272, train_acc:93.46
timecost:0.35, lr:0.00019802207729556015, epoch:183, train_loss:0.3833, train_acc:88.33
timecost:0.36, lr:0.0001951803439530242, epoch:184, train_loss:0.0627, train_acc:99.42
timecost:0.35, lr:0.00019234603231438997, epoch:185, train_loss:0.2061, train_acc:94.04
timecost:0.35, lr:0.0001895195261000831, epoch:186, train_loss:0.2027, train_acc:93.85
timecost:0.35, lr:0.00018670120797379959, epoch:187, train_loss:0.0313, train_acc:99.55
timecost:0.35, lr:0.00018389145949069947, epoch:188, train_loss:0.0269, train_acc:99.49
timecost:0.35, lr:0.00018109066104575022, epoch:189, train_loss:0.0322, train_acc:99.29
timecost:0.35, lr:0.00017829919182222746, epoch:190, train_loss:0.3421, train_acc:91.35
timecost:0.35, lr:0.00017551742974037955, epoch:191, train_loss:1.2494, train_acc:58.27
timecost:0.35, lr:0.00017274575140626317, epoch:192, train_loss:0.1739, train_acc:95.32
timecost:0.36, lr:0.00016998453206075714, epoch:193, train_loss:0.0129, train_acc:100.00
timecost:0.35, lr:0.00016723414552876056, epoch:194, train_loss:0.1243, train_acc:97.44
timecost:0.36, lr:0.0001644949641685829, epoch:195, train_loss:0.0558, train_acc:98.65
timecost:0.36, lr:0.00016176735882153276, epoch:196, train_loss:0.0529, train_acc:98.78
timecost:0.35, lr:0.0001590516987617121, epoch:197, train_loss:0.2895, train_acc:90.71
timecost:0.36, lr:0.00015634835164602198, epoch:198, train_loss:0.6432, train_acc:81.15
timecost:0.35, lr:0.00015365768346438797, epoch:199, train_loss:0.0365, train_acc:99.49
timecost:0.36, lr:0.0001509800584902108, epoch:200, train_loss:0.4386, train_acc:86.35
timecost:0.35, lr:0.00014831583923105, epoch:201, train_loss:0.1807, train_acc:93.91
timecost:0.35, lr:0.00014566538637954555, epoch:202, train_loss:0.9687, train_acc:69.42
timecost:0.35, lr:0.0001430290587645865, epoch:203, train_loss:1.3425, train_acc:60.32
timecost:0.35, lr:0.0001404072133027307, epoch:204, train_loss:0.0961, train_acc:97.95
timecost:0.35, lr:0.00013780020494988455, epoch:205, train_loss:0.0883, train_acc:98.01
timecost:0.35, lr:0.00013520838665324715, epoch:206, train_loss:0.0109, train_acc:100.00
timecost:0.35, lr:0.00013263210930352726, epoch:207, train_loss:0.0490, train_acc:99.29
timecost:0.35, lr:0.00013007172168743846, epoch:208, train_loss:0.0224, train_acc:99.81
timecost:0.35, lr:0.00012752757044047827, epoch:209, train_loss:0.0081, train_acc:100.00
timecost:0.35, lr:0.00012500000000000006, epoch:210, train_loss:0.0325, train_acc:99.87
timecost:0.35, lr:0.0001224893525585812, epoch:211, train_loss:0.0134, train_acc:100.00
